127.0.0.1 - - [12/Jul/2018:09:37:09 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [12/Jul/2018:09:37:10 +0530] "GET /FundooNotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [12/Jul/2018:09:37:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [12/Jul/2018:09:37:27 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:09:37:27 +0530] "POST /FundooNotes/login HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:09:18 +0530] "OPTIONS /FundooNotes/registration HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:09:18 +0530] "POST /FundooNotes/registration HTTP/1.1" 500 20001
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:10:12 +0530] "POST /FundooNotes/registration HTTP/1.1" 409 19
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:10:58 +0530] "POST /FundooNotes/registration HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:13:16 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:13:16 +0530] "POST /FundooNotes/login HTTP/1.1" 404 14
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:14:49 +0530] "POST /FundooNotes/login HTTP/1.1" 404 14
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:21:08 +0530] "POST /FundooNotes/login HTTP/1.1" 404 14
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:21:33 +0530] "POST /FundooNotes/login HTTP/1.1" 404 14
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:22:25 +0530] "POST /FundooNotes/login HTTP/1.1" 404 14
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:24:03 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:24:03 +0530] "POST /FundooNotes/login HTTP/1.1" 404 14
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:26:56 +0530] "POST /FundooNotes/login HTTP/1.1" 404 8832
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:32:02 +0530] "POST /FundooNotes/login HTTP/1.1" 404 8832
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:33:14 +0530] "POST /FundooNotes/login HTTP/1.1" 404 8832
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:35:49 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:35:50 +0530] "POST /FundooNotes/login HTTP/1.1" 404 14
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:36:06 +0530] "POST /FundooNotes/login HTTP/1.1" 404 14
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:37:13 +0530] "POST /FundooNotes/login HTTP/1.1" 404 8832
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:53:27 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:53:28 +0530] "POST /FundooNotes/login HTTP/1.1" 404 8832
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:57:24 +0530] "POST /FundooNotes/login HTTP/1.1" 409 74
0:0:0:0:0:0:0:1 - - [12/Jul/2018:10:57:56 +0530] "POST /FundooNotes/login HTTP/1.1" 409 74
0:0:0:0:0:0:0:1 - - [12/Jul/2018:11:09:32 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:11:09:32 +0530] "POST /FundooNotes/login HTTP/1.1" 409 74
0:0:0:0:0:0:0:1 - - [12/Jul/2018:11:09:35 +0530] "POST /FundooNotes/login HTTP/1.1" 409 74
0:0:0:0:0:0:0:1 - - [12/Jul/2018:14:57:31 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:14:57:35 +0530] "POST /FundooNotes/login HTTP/1.1" 409 74
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:22:26 +0530] "OPTIONS /FundooNotes/forgetpassword HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:22:31 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 400 1126
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:41:44 +0530] "OPTIONS /FundooNotes/forgetpassword HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:41:44 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 400 1126
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:42:13 +0530] "GET /FundooNotes/forgetpassword HTTP/1.1" 405 1113
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:48:40 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:48:40 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:48:43 +0530] "POST /FundooNotes/login HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:48:43 +0530] "POST /FundooNotes/login HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:49:47 +0530] "POST /FundooNotes/login HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [12/Jul/2018:15:50:56 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 400 1126
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:05:36 +0530] "OPTIONS /FundooNotes/forgetpassword HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:05:37 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 202 32
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:13:47 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 202 32
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:14:28 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:15:30 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:15:59 +0530] "OPTIONS /FundooNotes/forgetpassword HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:15:59 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:17:39 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [12/Jul/2018:16:20:35 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 200 70
