127.0.0.1 - - [16/Jul/2018:09:16:49 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:16:50 +0530] "GET /FundooNotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:16:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:17:14 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:17:14 +0530] "POST /FundooNotes/login HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:17:14 +0530] "OPTIONS /FundooNotes/getallnotesofuser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:17:15 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:23:06 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:23:06 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:25:02 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:25:03 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:25:14 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:25:15 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:26:03 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:26:28 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:26:29 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:26:29 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:26:37 +0530] "OPTIONS /FundooNotes/createnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:26:37 +0530] "POST /FundooNotes/createnotes HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:27:56 +0530] "OPTIONS /FundooNotes/getallnotesofuser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:27:56 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:31:23 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:31:24 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [16/Jul/2018:09:31:47 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 313
